,Diagnosis Age,Days to Sample Collection.,Last Alive Less Initial Pathologic Diagnosis Date Calculated Day Value,Days to post orchi serum test,Days to pre orchi serum test,Disease Free (Months),Disease code,Lymphomatous Extranodal Site Involvement Indicator,Fraction Genome Altered,Year Cancer Initial Diagnosis,Mutation Count,Overall Survival (Months),Overall Survival Status,Post orchi afp,Post orchi hcg,Post orchi ldh,Pre orchi afp,Pre orchi hcg,Pre orchi ldh,Number of Samples Per Patient,Sample Initial Weight,Sample type id,TMB (nonsynonymous)
Diagnosis Age,1.0,-0.21018025242145655,,0.17661969413225123,-0.0420615551749104,-0.10164545893699466,,,-0.057844196225701645,0.22842375416964839,-0.06160190886163916,-0.1924017482574956,-0.15267200322272448,-0.09539256329640754,-0.05769002890581412,-0.03111208805262781,0.04752409923899415,-0.08148827128201862,0.027332350140966754,-0.09337445606059121,-0.002884802918932712,-0.06478217770029615,-0.07222497687320893
Days to Sample Collection.,-0.21018025242145655,1.0,,-0.19584732637253666,0.026975962670897802,0.7576954767839845,,,0.12053397810871493,-0.99870211223376,0.0054043665904136545,0.9047183963772546,0.05036454532879574,0.05784371876712912,-0.0009960161803107617,0.09433790420770065,-0.08755621630275763,-0.05987791813336537,-0.0879014190847199,0.28993181405878143,0.023123356334073822,,-0.005147754544857129
Last Alive Less Initial Pathologic Diagnosis Date Calculated Day Value,,,,,,,,,,,,,,,,,,,,,,,
Days to post orchi serum test,0.17661969413225123,-0.19584732637253666,,1.0,0.06368866633308594,-0.17514102423366323,,,-0.07249518693806428,0.20752851824190982,-0.08030053915257683,-0.24202572009545423,0.08969263935650386,-0.04905053115276269,0.383884734813665,-0.14684780791101984,-0.051942446808706785,-0.09353166478957865,-0.11915993243039871,-0.08377984196299784,0.21020521410594928,-0.0579725971533386,-0.07412664522283904
Days to pre orchi serum test,-0.0420615551749104,0.026975962670897802,,0.06368866633308594,1.0,-0.03914370071250187,,,0.09985332623032375,-0.015450448389107066,0.018915564110340923,-0.030695840625423403,-0.018472130181710095,0.03654429151031157,-0.18264314946795898,-0.05081603520684418,-0.04484154136184089,-0.03898988802318049,-0.0035945052426701245,0.005812840126812574,0.2754638358845389,0.004027253774365814,0.01915794087133806
Disease Free (Months),-0.10164545893699466,0.7576954767839845,,-0.17514102423366323,-0.03914370071250187,1.0,,,-0.030011039178390545,-0.7418049436480417,0.019846512334492188,0.8061196979151897,-0.0920729141820395,0.03493468398082699,-0.06580259950811797,0.11443591937333182,-0.042094715141596566,0.12490221612382109,-0.026236625908473827,0.17919897081982364,-0.11157816512757868,0.12428977680396046,0.009775987537164039
Disease code,,,,,,,,,,,,,,,,,,,,,,,
Lymphomatous Extranodal Site Involvement Indicator,,,,,,,,,,,,,,,,,,,,,,,
Fraction Genome Altered,-0.057844196225701645,0.12053397810871493,,-0.07249518693806428,0.09985332623032375,-0.030011039178390545,,,1.0,-0.08265596756566199,0.28997369908670173,0.03618827813506853,-0.06510797240295893,0.037889245927215036,-0.07158239701052474,-0.15423363378662427,0.07923597483728244,0.002261343536677346,0.06578925578027926,0.06594546473863146,-0.004207372584967266,-0.09912396423077556,0.28151733769898346
Year Cancer Initial Diagnosis,0.22842375416964839,-0.99870211223376,,0.20752851824190982,-0.015450448389107066,-0.7418049436480417,,,-0.08265596756566199,1.0,-0.011708308727555749,-0.9111947255496093,-0.038125412585072585,-0.05554162144922389,0.0034731063930208464,-0.08854903207585513,0.07796676228219722,0.05958323714018124,0.08469211587564066,-0.38641366129286897,-0.021171070008251483,-0.26808957746916234,-0.00026989975513744865
